,pedal length,pedal width,time when measured,cur weather,species
0,1.4,0.2,8.438096672479016,3,0
1,1.4,0.2,11.718959212196108,0,0
2,1.3,0.2,9.344060890211455,1,0
3,1.5,0.2,12.975979720838176,3,0
4,1.4,0.2,15.399046978463142,1,0
5,1.7,0.4,8.996673215283565,0,0
6,1.4,0.3,8.080913140011239,0,0
7,1.5,0.2,15.91301916113,0,0
8,1.4,0.2,13.781260782784647,1,0
9,1.5,0.1,14.26600067734822,0,0
10,1.5,0.2,10.422614444739098,4,0
11,1.6,0.2,11.258255051444394,4,0
12,1.4,0.1,16.957931755196086,0,0
13,1.1,0.1,14.029312172009394,1,0
14,1.2,0.2,7.5632414819886025,1,0
15,1.5,0.4,11.500351989850571,1,0
16,1.3,0.4,14.265060596809754,3,0
17,1.4,0.3,9.522152969330811,1,0
18,1.7,0.3,11.073328775324736,2,0
19,1.5,0.3,11.512444539179668,4,0
20,1.7,0.2,13.117798405400128,3,0
21,1.5,0.4,10.05121258588883,4,0
22,1.0,0.2,12.770635281849914,0,0
23,1.7,0.5,14.896262399466314,1,0
24,1.9,0.2,13.919784952040711,0,0
25,1.6,0.2,14.322171756726775,2,0
26,1.6,0.4,16.305400445459583,2,0
27,1.5,0.2,10.224682844395677,4,0
28,1.4,0.2,16.20263763676727,3,0
29,1.6,0.2,14.359895868010698,0,0
30,1.6,0.2,9.164512510754147,4,0
31,1.5,0.4,8.725315819030271,1,0
32,1.5,0.1,12.54238371284544,1,0
33,1.4,0.2,15.046081115462941,3,0
34,1.5,0.2,10.775045240163154,3,0
35,1.2,0.2,10.836365336088821,3,0
36,1.3,0.2,11.950513031508361,4,0
37,1.4,0.1,9.663201294581624,2,0
38,1.3,0.2,12.126547926317599,0,0
39,1.5,0.2,13.510486084722531,3,0
40,1.3,0.3,13.845505047834155,0,0
41,1.3,0.3,13.256985914202538,3,0
42,1.3,0.2,8.097623084805146,0,0
43,1.6,0.6,10.323870438701316,2,0
44,1.9,0.4,7.180225837325134,4,0
45,1.4,0.3,10.122781714012895,1,0
46,1.6,0.2,15.647279707525005,3,0
47,1.4,0.2,7.466782980164871,3,0
48,1.5,0.2,13.93047381075655,3,0
49,1.4,0.2,10.82614504749116,2,0
50,4.7,1.4,7.926223409080413,3,1
51,4.5,1.5,12.753751383849565,3,1
52,4.9,1.5,8.355485206218368,0,1
53,4.0,1.3,11.20151786473049,0,1
54,4.6,1.5,16.486228096114466,1,1
55,4.5,1.3,8.620398718276542,4,1
56,4.7,1.6,9.007624509523843,3,1
57,3.3,1.0,7.092622342075035,0,1
58,4.6,1.3,10.972259974504219,2,1
59,3.9,1.4,11.307124682164698,3,1
60,3.5,1.0,10.239711941637877,3,1
61,4.2,1.5,14.841783103943044,1,1
62,4.0,1.0,12.086951503454197,4,1
63,4.7,1.4,15.90012063349484,1,1
64,3.6,1.3,10.656516619537118,1,1
65,4.4,1.4,13.835531997815501,1,1
66,4.5,1.5,16.8131501573063,2,1
67,4.1,1.0,14.379890097444436,1,1
68,4.5,1.5,13.928972904260393,0,1
69,3.9,1.1,14.382451929714382,2,1
70,4.8,1.8,11.120413927535997,2,1
71,4.0,1.3,16.259670690786393,1,1
72,4.9,1.5,9.501289682530102,1,1
73,4.7,1.2,11.656883551713335,1,1
74,4.3,1.3,15.447398665907768,1,1
75,4.4,1.4,9.267720605444616,3,1
76,4.8,1.4,14.906482327486609,0,1
77,5.0,1.7,13.365527218632167,0,1
78,4.5,1.5,12.779075143553634,2,1
79,3.5,1.0,15.351199331527937,4,1
80,3.8,1.1,14.840736296068211,2,1
81,3.7,1.0,7.027543244471426,3,1
82,3.9,1.2,8.107372574547389,2,1
83,5.1,1.6,16.767877368070522,0,1
84,4.5,1.5,14.882043941247792,3,1
85,4.5,1.6,11.006680130783657,1,1
86,4.7,1.5,7.849465230033649,4,1
87,4.4,1.3,11.071208106469857,4,1
88,4.1,1.3,7.564388827415677,3,1
89,4.0,1.3,12.282715471773672,3,1
90,4.4,1.2,11.746316915937529,1,1
91,4.6,1.4,8.30052575408047,0,1
92,4.0,1.2,12.16434207746109,2,1
93,3.3,1.0,14.293423128665179,3,1
94,4.2,1.3,11.71912082585722,4,1
95,4.2,1.2,7.0792618211135405,0,1
96,4.2,1.3,7.1138899631420305,1,1
97,4.3,1.3,12.982381388952934,2,1
98,3.0,1.1,9.901891579514118,3,1
99,4.1,1.3,16.201597140055185,2,1
100,6.0,2.5,14.48768863028609,3,2
101,5.1,1.9,9.900108051688097,1,2
102,5.9,2.1,12.028583370432806,4,2
103,5.6,1.8,9.488993089946433,3,2
104,5.8,2.2,10.984912694395566,2,2
105,6.6,2.1,15.266965594753668,3,2
106,4.5,1.7,11.683694160797243,3,2
107,6.3,1.8,15.270455718704053,0,2
108,5.8,1.8,16.020736211335148,1,2
109,6.1,2.5,12.589834522241112,0,2
110,5.1,2.0,12.287106731257794,0,2
111,5.3,1.9,7.698480868717254,4,2
